CustomerId,Amount,InterestRate
1,400234.67,2.1
2,400235.67,3.1
3,400236.67,4.1
4,400237.67,5.1
5,400238.67,2.1
6,400239.67,3.1
7,400240.67,4.1
8,400241.67,5.1
9,400242.67,2.1
10,400243.67,3.1
11,400244.67,4.1
12,400245.67,5.1
13,400246.67,2.1
14,400247.67,3.1
15,400248.67,4.1
16,400249.67,5.1
17,400250.67,2.1
18,400251.67,3.1
19,400252.67,4.1
20,400253.67,5.1
21,400254.67,2.1
22,400255.67,3.1
23,400256.67,4.1
24,400257.67,5.1
25,400258.67,2.1
26,400259.67,3.1
27,400260.67,4.1
28,400261.67,5.1
29,400262.67,2.1
30,400263.67,3.1
31,400264.67,4.1
32,400265.67,5.1
33,400266.67,2.1
34,400267.67,3.1
35,400268.67,4.1
36,400269.67,5.1
37,400270.67,2.1
38,400271.67,3.1
39,400272.67,4.1
40,400273.67,5.1
41,400274.67,2.1
42,400275.67,3.1
43,400276.67,4.1
44,400277.67,5.1
45,400278.67,2.1
46,400279.67,3.1
47,400280.67,4.1
48,400281.67,5.1
49,400282.67,2.1
50,400283.67,3.1
51,400284.67,4.1
52,400285.67,5.1
53,400286.67,2.1
54,400287.67,3.1
55,400288.67,4.1
56,400289.67,5.1
57,400290.67,2.1
58,400291.67,3.1
59,400292.67,4.1
60,400293.67,5.1
61,400294.67,2.1
62,400295.67,3.1
63,400296.67,4.1
64,400297.67,5.1
65,400298.67,2.1
66,400299.67,3.1
67,400300.67,4.1
68,400301.67,5.1
69,400302.67,2.1
70,400303.67,3.1
71,400304.67,4.1
72,400305.67,5.1
73,400306.67,2.1
74,400307.67,3.1
75,400308.67,4.1
76,400309.67,5.1
77,400310.67,2.1
78,400311.67,3.1
79,400312.67,4.1
80,400313.67,5.1
81,400314.67,2.1
82,400315.67,3.1
83,400316.67,4.1
84,400317.67,5.1
85,400318.67,2.1
86,400319.67,3.1
87,400320.67,4.1
88,400321.67,5.1
89,400322.67,2.1
90,400323.67,3.1
91,400324.67,4.1
92,400325.67,5.1
93,400326.67,2.1
94,400327.67,3.1
95,400328.67,4.1
96,400329.67,5.1
97,400330.67,2.1
98,400331.67,3.1
99,400332.67,4.1
100,400333.67,5.1
101,400334.67,2.1
102,400335.67,3.1
103,400336.67,4.1
104,400337.67,5.1
105,400338.67,2.1
106,400339.67,3.1
107,400340.67,4.1
108,400341.67,5.1
109,400342.67,2.1
110,400343.67,3.1
111,400344.67,4.1
112,400345.67,5.1
113,400346.67,2.1
114,400347.67,3.1
115,400348.67,4.1
116,400349.67,5.1
117,400350.67,2.1
118,400351.67,3.1
119,400352.67,4.1
120,400353.67,5.1
121,400354.67,2.1
122,400355.67,3.1
123,400356.67,4.1
124,400357.67,5.1
125,400358.67,2.1
126,400359.67,3.1
127,400360.67,4.1
128,400361.67,5.1
129,400362.67,2.1
130,400363.67,3.1
131,400364.67,4.1
132,400365.67,5.1
133,400366.67,2.1
134,400367.67,3.1
135,400368.67,4.1
136,400369.67,5.1
137,400370.67,2.1
138,400371.67,3.1
139,400372.67,4.1
140,400373.67,5.1
141,400374.67,2.1
142,400375.67,3.1
143,400376.67,4.1
144,400377.67,5.1
145,400378.67,2.1
146,400379.67,3.1
147,400380.67,4.1
148,400381.67,5.1
149,400382.67,2.1
150,400383.67,3.1
